address,category_name,city,local_guid,likes_count,name,permanently_closed,publish_at,published_at_date,reviewer_number_of_reviews,reviews_count,reviews_distb_fivestar,reviews_distb_fourstar,reviews_distb_onestar,reviews_distb_threestar,reviews_distb_twostar,stars,temporarily_closed,text,title,total_score
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,0,Noman Siddiqui,FALSE,a day ago,2022-05-30T19:24:16.042Z,24,433,210,114,25,62,22,2,FALSE,"Upscale and well decorated ambience! But food was absolutely terrible,.... Food items were not sufficient to be called buffet. Very disappointed as it was an extreme embarrassment in front of my guest.

If you just need to fill the stomach, you can come over. But if you are seriously looking for quality and tasty foods, go somewhere else.

Personally, I will never go back. Thanks",Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,0,Muhammad Zawwar Khalid,FALSE,a month ago,2022-04-10T00:38:39.825Z,55,433,210,114,25,62,22,2,FALSE,"Sehri buffet visit it was.
offerings were quite ordinary as per Movenpick's standard.... secondly no desserts option at all...

Overall very disappointing...",Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,FALSE,0,Jawad Khan,FALSE,2 months ago,2022-03-17T11:55:20.937Z,4,433,210,114,25,62,22,1,FALSE,I would leave zero stars if I could. Terrible food. The food is mediocre for the price and to make it even worse it is not even close to authentic. You should not call yourself a 5 star restaurant. Salad bar was empty and low class.  sweets section was pathetic. Please save your money and time. Go some better place for buffet.,Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,FALSE,0,Naheed,FALSE,2 months ago,2022-03-06T18:39:30.233Z,1,433,210,114,25,62,22,1,FALSE,Worst experience,Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,0,Zahid Sheikh,FALSE,5 months ago,2021-12-30T07:06:13.689Z,51,433,210,114,25,62,22,1,FALSE,worst buffet dinner i ever had in any five star hotel.,Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,FALSE,2,Sumera,FALSE,5 months ago,2021-12-19T11:12:02.778Z,6,433,210,114,25,62,22,1,FALSE,"Horrible experience at Sunday brunch. Food was average to low quality, buffet was not set up properly, desserts were not labeled and the staff was inadequate and not knowledgeable about the menu. The food containers and spoons were poorly set up as was the circulation space at the buffet. The live music was absolutely terrible and children were screaming and running around like it was a playground. Overall, very bad experience. Never going again.",Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,0,Syed Waseem Hassan,FALSE,5 months ago,2021-12-12T18:08:09.359Z,79,433,210,114,25,62,22,2,FALSE,"Overall experience and ambiance is good but still lots of common buffet dishes are missing in dinner e.g. no fried rice with chicken shashlik, no fries, no prawns, no paya , nihari or common currys and fried items like seek kabab, behari boti, chicken handi, chicken karahi and lots of lots of other stuff. I missed many things in buffet as compare to the charged amount of 3050 per person. If you have other options available kindly do not consider it as a general buffet outing. Not worth it at all.",Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,5,Gulshan,FALSE,10 months ago,2021-07-14T08:58:09.504Z,104,433,210,114,25,62,22,1,FALSE,Bad experience.,Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,FALSE,0,Yaseen Jamil,FALSE,10 months ago,2021-07-14T08:57:02.642Z,3,433,210,114,25,62,22,1,FALSE,,Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,0,Mohammad Umair Aziz,FALSE,a year ago,2021-04-09T11:10:57.200Z,106,433,210,114,25,62,22,2,FALSE,BBQ platter was not good. Shrimp wasn't fresh and tasted bad despite of it being extremely expensive. Service is good. Waiting staff is courteous. On our last visit the food was very good. Not this time. Very disappointed.  ??,Al Bustan Restaurant,4.1
